Site,Individual,Cluster1,Cluster2,Cluster3
AP,Cv393_9xi23_IT_GIL,0.071404,0.470151,0.458445
AP,Cv392_9xi23_IT_GIL,0.075029,0.898191,0.026781
AP,Cv391_9xi23_IT_GIL,0.00001,0.934645,0.065345
AP,Cv385_9xi23_IT_GIL,0.00001,0.973876,0.026114
AP,Cv383_9xi23_IT_GIL,0.076945,0.750258,0.172796
AP,Cv377_9xi23_IT_GIL,0.00001,0.848505,0.151485
AP,Cv374_9xi23_IT_GIL,0.090966,0.702066,0.206969
AP,Cv370_9xi23_IT_GIL,0.00188,0.886704,0.111416
NI,Cv362_2xi23_NI_GIL,0.557984,0.03777,0.404246
NI,Cv361_2xi23_NI_GIL,0.00001,0.00001,0.99998
AP,Cv381_9xi23_IT_GIL,0.00001,0.854172,0.145818
NI,Cv360_2xi23_NI_GIL,0.313076,0.214598,0.472327
AP,Cv376_9xi23_IT_GIL,0.00001,0.958452,0.041538
NI,Cv355_2xi23_NI_GIL,0.133135,0.167703,0.699161
NI,Cv351_2xi23_NI_GIL,0.00001,0.00001,0.99998
NI,Cv348_2xi23_NI_GIL,0.00001,0.00001,0.99998
NI,Cv347_2xi23_NI_GIL,0.00001,0.00001,0.99998
NI,Cv345_2xi23_NI_GIL,0.00001,0.00001,0.99998
NI,Cv342_2xi23_NI_GIL,0.00001,0.00001,0.99998
NI,Cv341_2xi23_NI_GIL,0.038179,0.00001,0.961811
NI,Cv337_2xi23_NI_GIL,0.00001,0.00001,0.99998
NI,Cv349_2xi23_NI_GIL,0.00001,0.00001,0.99998
NI,Cv336_2xi23_NI_GIL,0.00001,0.234897,0.765093
AP,Cv389_9xi23_IT_GIL,0.013208,0.960735,0.026057
FP,Cv334_22vi23_VO_GIL,0.870928,0.00001,0.129062
FP,Cv331_22vi23_VO_GIL,0.083413,0.916577,0.00001
FP,Cv330_22vi23_VO_GIL,0.717445,0.00001,0.282545
FP,Cv329_22vi23_VO_GIL,0.610454,0.00001,0.389536
FP,Cv328_22vi23_VO_GIL,0.99998,0.00001,0.00001
FP,Cv327_22vi23_VO_GIL,0.520925,0.357654,0.12142
FP,Cv326_22vi23_VO_GIL,0.643949,0.00001,0.356041
FP,Cv323_22vi23_VO_GIL,0.628793,0.056918,0.314289
FP,Cv321_22vi23_VO_GIL,0.99998,0.00001,0.00001
FP,Cv320_22vi23_VO_GIL,0.75722,0.00001,0.24277
AP,Cv388_9xi23_IT_GIL,0.00001,0.957415,0.042575
FP,Cv319_22vi23_VO_GIL,0.99998,0.00001,0.00001
